terms_to_comp_elapsed,majors,num_coop_terms,comp_gpa,comp_acad_yr,basis_of_admission,avg_units_per_term
18,Computing Science Major,0,2,2016/17,Secondary,11.455468516171413
16,Software Engineering Major,4,4.33,2011/12,Secondary,11.558132567202625
17,Buisiness and Computing Science Joint Major,1,2.037656675352833,2006/07,Secondary,11.92692511529581
15,Computing Science and Mathematics Joint Major,1,4.317021358884896,2007/08,Post-Secondary,10.63899913226157
17,Buisiness and Computing Science Joint Major,2,3.772758081893474,2017/18,Post-Secondary,11.57190166418176
17,Computing Science Major,1,4.087758787116026,2017/18,Secondary,11.873807793903975
17,Computing Science Major,2,3.0779604144956814,2010/11,Post-Secondary,11.248728569554181
16,Buisiness and Computing Science Joint Major,4,3.434151585939447,2013/14,Post-Secondary,12.305242805753398
16,Computing Science and Mathematics Joint Major,0,3.2651683642856697,2007/08,Post-Secondary,9.463407774208132
16,Software Engineering Major,1,3.635295760978636,2007/08,Other,9.95930871112771
15,Software Engineering Major,4,3.8238731347965507,2016/17,Secondary,11.148645057201465
16,Computing Science Major,1,2.440474660999789,2017/18,Other,9.67295713661897
14,Buisiness and Computing Science Joint Major,2,4.33,2006/07,Secondary,11.834128874082333
17,Buisiness and Computing Science Joint Major,1,2.138763395194801,2017/18,Secondary,10.541651390360688
17,Computing Science Major,2,3.9784037247205557,2008/09,Secondary,11.822369446250317
16,Computing Science and Mathematics Joint Major,3,2.4370346149779905,2016/17,Other,10.533183765439665
15,Computing Science and Mathematics Joint Major,1,4.33,2009/10,Other,11.409659061211457
16,Software Engineering Major,2,2.1821784516545866,2006/07,Other,9.393289859942248
15,Buisiness and Computing Science Joint Major,3,2.6955019892941063,2018/19,Other,9.995269830786327
16,Software Engineering Major,2,2,2009/10,Secondary,12.485502927696405
18,Computing Science and Mathematics Joint Major,0,2.9266471001160124,2016/17,Other,13.351312026498178
17,Computing Science Major,1,3.4190501646275875,2006/07,Other,10.840923493672715
16,Computing Science and Mathematics Joint Major,3,4.33,2015/16,Other,11.340363737745463
16,Computing Science and Mathematics Joint Major,0,3.9502258951591873,2017/18,Post-Secondary,10.842536288676813
18,Software Engineering Major,4,3.16774089289932,2017/18,Post-Secondary,10.243249948123545
16,Computing Science and Mathematics Joint Major,1,4.169196541044739,2011/12,Post-Secondary,10.098446952525835
16,Computing Science and Mathematics Joint Major,1,3.1632452761820087,2005/06,Post-Secondary,9.84106965892585
16,Computing Science and Mathematics Joint Major,3,2.3457320445206182,2011/12,Secondary,11.911032753189144
17,Software Engineering Major,3,3.3804781336127125,2017/18,Other,10.412905936806615
17,Computing Science and Mathematics Joint Major,3,2.514684206522529,2014/15,Other,10.909202997983515
16,Computing Science Major,3,2,2008/09,Other,11.966886608709768
17,Software Engineering Major,1,2,2005/06,Secondary,12.596475609017313
16,Computing Science Major,0,4.33,2010/11,Post-Secondary,11.063534596076227
17,Buisiness and Computing Science Joint Major,3,2.858814679402937,2008/09,Post-Secondary,11.113749104543885
16,Computing Science Major,0,2.8546545104088854,2013/14,Secondary,11.647182556007706
16,Computing Science and Mathematics Joint Major,3,3.2999065407521853,2016/17,Post-Secondary,11.079545724655398
18,Computing Science and Mathematics Joint Major,2,2.2847506508664326,2005/06,Post-Secondary,11.944403047916472
17,Buisiness and Computing Science Joint Major,3,4.33,2010/11,Post-Secondary,10.216729783615657
15,Computing Science and Mathematics Joint Major,1,2,2008/09,Post-Secondary,8.89995723753867
17,Software Engineering Major,2,2.902128268835373,2009/10,Post-Secondary,10.770425805859196
16,Buisiness and Computing Science Joint Major,0,4.33,2011/12,Secondary,11.556789071288721
17,Buisiness and Computing Science Joint Major,2,3.8256345464040873,2007/08,Secondary,10.90764887454488
16,Buisiness and Computing Science Joint Major,4,3.337557594622646,2013/14,Secondary,12.22615741095019
17,Computing Science Major,0,3.1007607465879454,2009/10,Post-Secondary,8.648111578042268
16,Buisiness and Computing Science Joint Major,0,2.720406672494252,2010/11,Other,12.23735043343873
16,Software Engineering Major,2,2.4451908744939193,2016/17,Secondary,10.66506516790668
14,Software Engineering Major,2,2,2007/08,Post-Secondary,11.105422771549971
16,Software Engineering Major,3,2.6023455091936665,2009/10,Post-Secondary,10.711883704968006
16,Buisiness and Computing Science Joint Major,4,3.8639376245359616,2014/15,Secondary,12.650812868345524
16,Computing Science and Mathematics Joint Major,1,3.2181843083739556,2018/19,Secondary,11.984812419994357
